title,pdf_link
Number of recorded Non-freezing cold injuries (NFCI) for the UK armed forces 2010 to 2015,https://assets.publishing.service.gov.uk/media/5a7f873840f0b62305b87b1a/PUBLIC_1448967672.pdf
Creation of the CFA and posts included in the Headquarters Field army structure and army command,https://assets.publishing.service.gov.uk/media/5a80bd1de5274a2e8ab51e20/20151201-FOI201510480_76137_CFA_Restructure_ArmySec.pdf
Number of photographers from MOD personnel seconded to Downing Street 2013 to 2015,https://assets.publishing.service.gov.uk/media/5a80db73e5274a2e8ab528e4/FOI2015_08496.pdf
Personnel and assets deployed for Exercise Bersama Shield 2015,https://assets.publishing.service.gov.uk/media/5a81986940f0b62305b8fcd0/FOI2105_08452.pdf
Information about the Red Arrows,https://assets.publishing.service.gov.uk/media/5a7f16aaed915d74e6228502/20151109-The_Red_Arrows-Various.pdf
Number of enemy combatants killed in RAF airstrikes in Iraq June to October 2015,https://assets.publishing.service.gov.uk/media/5a80b84fe5274a2e87dbb6ef/20151208-FOI2015_09737_Iraq-enemy_combatants_killed_in_RAF_airstrikes.pdf
"Information on the Wessex helicopter crash near Setermeon, December 1983",https://assets.publishing.service.gov.uk/media/5a7562fded915d7314959903/2015-10924_redacted_scanned.pdf
"Attachment: Report by the accident investigation Unit on the Wessex helicopter crash near Setermeon, December 1983",https://assets.publishing.service.gov.uk/media/5a80a1b2ed915d74e33fb88b/Air_Accident_Investigation_redacted_scanned.pdf
"Number of people signing up as army recruits, location of their training and total cost per recruit 2005 to 2015",https://assets.publishing.service.gov.uk/media/5a80de3d40f0b62305b8d9a2/Army_Intake_Totals_Training_Locations_and_Costs.pdf
"Number of British soldiers, seamen and airmen detained at the Military Corrective Training Centre (MCTC), Colchester, Essex as at 31 October 2015",https://assets.publishing.service.gov.uk/media/5a80830d40f0b62305b8b942/Detainees_Military_Corrective_Training_Centre_Colchester.pdf
Percentage of Royal Engineer Lance Corporals promoted to Corporal and Corporals promoted to Sergeant at each of their 1st to 5th looks,https://assets.publishing.service.gov.uk/media/5a8149ee40f0b62305b8e224/Document4.pdf
Copy of the minutes of the Atomic Weapons Establishment (AWE) annual review of safety meeting 2014,https://assets.publishing.service.gov.uk/media/5a808b8a40f0b62305b8bc52/FOI2015_03576_AWE_annual_review_safety_meeting_2014.pdf
Attachment: Atomic Weapons Establishment (AWE) Annual Review of Safety 2014 report,https://assets.publishing.service.gov.uk/media/5a819480e5274a2e87dbe634/20151001_Whitham_FOI_2015-03576__AWE_Annual_Review_of_Safety_2014-Redacted_Copy.pdf
Number of MOD Police incidents recorded as a mental health type,https://assets.publishing.service.gov.uk/media/5a7f394ded915d74e33f5195/20151125-REDACTED_Reply_to_eCase_09912_RFI_23615_Re_Mental_Health.pdf
Number of British Army personnel who been diagnosed or treated for a mental health disorder 2011 to 2015,https://assets.publishing.service.gov.uk/media/5a7f73fbe5274a2e87db5f1e/PUBLIC_1449583442.pdf
Number of personnel and veterans who received a lump sum payment under AFCS as at 30 September 2014 and number of ex-service personnel in receipt of a War Pension under WPS as at 31 March 2014,https://assets.publishing.service.gov.uk/media/5a80150a40f0b62305b89100/20151209-Redacted_FOI.pdf
Number of elasticated cordage injuries sustained to MOD personnel April 2010 to March 2015,https://assets.publishing.service.gov.uk/media/5a803a2540f0b6230269243a/20151209-redacted_08437_FOI.pdf
